code,description,category,is_bonus_eligible,visa_description
3146,LUXAIR,airline,true,
3147,Airlines,airline,true,
3148,Airlines,airline,true,
3149,Airlines,airline,true,
3150,Airlines,airline,true,
3151,AIR ZAIRE,airline,true,
3152,Airlines,airline,true,
3153,Airlines,airline,true,
3154,PRINCEVILLE,airline,true,
3155,Airlines,airline,true,
3156,Airlines,airline,true,
3157,Airlines,airline,true,
3158,Airlines,airline,true,
3159,PBA,airline,true,
3160,Airlines,airline,true,
3161,ALL NIPPON AIRWAYS,airline,true,
3162,Airlines,airline,true,
3163,Airlines,airline,true,
3164,NORONTAIR,airline,true,
3165,NEW YORK HELICOPTER,airline,true,
3166,Airlines,airline,true,
3167,Airlines,airline,true,
3168,Airlines,airline,true,
3169,Airlines,airline,true,
3170,NOUNT COOK,airline,true,
3171,CANADIAN AIRLINES INTERNATIONAL,airline,true,
3172,NATIONAIR,airline,true,
3173,Airlines,airline,true,
3174,Airlines,airline,true,
3175,Airlines,airline,true,
3176,METROFLIGHT AIRLINES,airline,true,
3177,Airlines,airline,true,
3178,MESA AIR,airline,true,
3179,Airlines,airline,true,
3180,Airlines,airline,true,
3181,MALEV,airline,true,
3182,LOT (POLAND),airline,true,
3183,Airlines,airline,true,
3184,LIAT,airline,true,
3185,LAV (VENEZUELA),airline,true,
3186,LAP (PARAGUAY),airline,true,
3187,LACSA (COSTA RICA),airline,true,
3188,Airlines,airline,true,
3189,Airlines,airline,true,
3190,JUGOSLAV AIR,airline,true,
3191,ISLAND AIRLINES,airline,true,
3192,IRAN AIR,airline,true,
3193,INDIAN AIRLINES,airline,true,
3194,Airlines,airline,true,
3195,Airlines,airline,true,
3196,HAWAIIAN AIR,airline,true,
3197,HAVASU AIRLINES,airline,true,
3198,Airlines,airline,true,
3199,Airlines,airline,true,
3200,FUYANA AIRWAYS,airline,true,
3201,Airlines,airline,true,
3202,Airlines,airline,true,
3203,GOLDEN PACIFIC AIR,airline,true,
3204,FREEDOM AIR,airline,true,
3205,Airlines,airline,true,
3206,Airlines,airline,true,
3207,Airlines,airline,true,
3208,Airlines,airline,true,
3209,Airlines,airline,true,
3210,Airlines,airline,true,
3211,Airlines,airline,true,
3212,DOMINICANA,airline,true,
3213,Airlines,airline,true,
3214,Airlines,airline,true,
3215,DAN AIR SERVICES,airline,true,
3216,CUMBERLAND AIRLINES,airline,true,
3217,CSA,airline,true,
3218,CROWN AIR,airline,true,
3219,COPA,airline,true,
3220,COMPANIA FAUCETT,airline,true,
3221,TRANSPORTES AEROS MILITARES ECCUATORANOS,airline,true,
3222,COMMAND AIRWAYS,airline,true,
3223,COMAIR,airline,true,
3224,Airlines,airline,true,
3225,Airlines,airline,true,
3226,Airlines,airline,true,
3227,Airlines,airline,true,
3228,CAYMAN AIRWAYS,airline,true,
3229,SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,airline,true,
3230,Airlines,airline,true,
3231,SASHA SERVICIO AERO DE HONDURAS,airline,true,
3232,Airlines,airline,true,
3233,CAPITOL AIR,airline,true,
3234,BWIA,airline,true,
3235,BROKWAY AIR,airline,true,
3236,Airlines,airline,true,
3237,Airlines,airline,true,
3238,BEMIDJI AIRLINES,airline,true,
3239,BAR HARBOR AIRLINES,airline,true,
3240,BAHAMASAIR,airline,true,
3241,AVIATECA (GUATEMALA),airline,true,
3242,AVENSA,airline,true,
3243,AUSTRIAN AIR SERVICE,airline,true,
3244,Airlines,airline,true,
3245,Airlines,airline,true,
3246,Airlines,airline,true,
3247,Airlines,airline,true,
3248,Airlines,airline,true,
3249,Airlines,airline,true,
3250,Airlines,airline,true,
3251,ALOHA AIRLINES,airline,true,
3252,ALM,airline,true,
3253,AMERICA WEST,airline,true,
3254,TRUMP AIRLINE,airline,true,
3255,Airlines,airline,true,
3256,ALASKA AIRLINES,airline,true,
3257,Airlines,airline,true,
3258,Airlines,airline,true,
3259,AMERICAN TRANS AIR,airline,true,
3260,Airlines,airline,true,
3261,AIR CHINA,airline,true,
3262,"RENO AIR, INC.",airline,true,
3263,Airlines,airline,true,
3264,Airlines,airline,true,
3265,Airlines,airline,true,
3266,AIR SEYCHELLES,airline,true,
3267,AIR PANAMA,airline,true,
3268,Airlines,airline,true,
3269,Airlines,airline,true,
3270,Airlines,airline,true,
3271,Airlines,airline,true,
3272,Airlines,airline,true,
3273,Airlines,airline,true,
3274,Airlines,airline,true,
3275,Airlines,airline,true,
3276,Airlines,airline,true,
3277,Airlines,airline,true,
3278,Airlines,airline,true,
3279,Airlines,airline,true,
3280,AIR JAMAICA,airline,true,
3281,Airlines,airline,true,
3282,AIR DJIBOUTI,airline,true,
3283,Airlines,airline,true,
3284,AERO VIRGIN ISLANDS,airline,true,
3285,AERO PERU,airline,true,
3286,AEROLINEAS NICARAGUENSIS,airline,true,
3287,AERO COACH AVAIATION,airline,true,
